CommandVerb,ExternalElement,Mnemonic,APID,OPCODE,Constraints,GroundOnly,Protected,ShortDescription,LongDescription,BitLength,Offset,DataType,Range,Default,Units,Conversion,SafetyLevel,BitPattern,
set,cmd,perf_mon,0x0,0x20,,,,"Set Performance Monitor State","",96,,,,,,,,18000000000520C200000000,
,,state,,,,,,"New state for perf mon","",,64,D8,,,none,0/OFF 1/ON 2/MAX ,,,
des,cmd,reset,0x0,0x21,,,,"Reset DES Statistics","",64,,,,,,,,18000000000121C7,
des,cmd,add_task,0x0,0x22,,,,"Add a task to the DES schedule","",128,,,,,,,,18000000000922CC0000000000000000,
,,taskID,,,,,,"Task ID","",,64,D32,,,none,0/TLM 1/CMD 2/HK 3/SEQ 4/MEM 5/LOG 6/FP 7/UHF_CMD 8/UHF_TLM 9/UHF_HK 10/ADCS 11/SD_HK 12/SD_TLM 13/DAXSS 14/CIP 15/SBAND 16/MODE 17/TABLE 18/SBAND_TLM 19/MAX_TASKS ,,,
,,slice,,,,,,"Slice to add task to","",,96,U32,,,none,,,,
des,cmd,sub_task,0x0,0x23,,,,"Remove a task from the DES schedule","",96,,,,,,,,18000000000523C100000000,
,,slice,,,,,,"Slice to remove task","",,64,U32,,,none,,,,
des,cmd,add_back,0x0,0x24,,,,"Add a background task to the DES","",96,,,,,,,,18000000000524C600000000,
,,taskID,,,,,,"Task ID","",,64,U32,,,none,,,,
des,cmd,sub_back,0x0,0x25,,,,"Remove a background task from the DES","",96,,,,,,,,18000000000525C700000000,
,,taskID,,,,,,"Task ID","",,64,U32,,,none,,,,
des,cmd,set_time,0x0,0x26,,,,"Set the current time (seconds)","",128,,,,,,,,18000000000926C80000000000000000,
,,time,,,,,,"New time (seconds)","",,64,U32,,,none,,,,
,,effective,,,,,,"Old time at which new time becomes effective (zero if immediate)","",,96,U32,,0,none,,,,
mem,cmd,dump,0x0,0x50,,,,"Dump Memory Section","",160,,,,,,,,18000000000D50BA000000000000000000000000,
,,section,,,,,,"Section to dump","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to dump","",,128,U32,,,none,,,,
mem,cmd,load,0x0,0x51,,,,"Load Memory Section","",1184,,,,,,,,18000000008D513B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to load","",,128,U32,,,none,,,,
,,buffer,,,,,,"Data to load","",,160,U1024,,,none,,,,
mem,cmd,load_dword,0x0,0x56,,,,"Write DWORD to memory section","",160,,,,,,,,18000000000D56BC000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,data,,,,,,"Data to write","",,128,U32,,,none,,,,
mem,cmd,load_word,0x0,0x57,,,,"Write WORD to memory section","",160,,,,,,,,18000000000D57BD000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,data,,,,,,"Data to write","",,128,U16,,,none,,,,
mem,cmd,load_byte,0x0,0x58,,,,"Write BYTE to memory section","",160,,,,,,,,18000000000D58B2000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,data,,,,,,"Data to write","",,128,U8,,,none,,,,
mem,cmd,erase,0x0,0x52,,,,"Erase Memory Section","",160,,,,,,,,18000000000D52B8000000000000000000000000,
,,section,,,,,,"Section to erase","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to erase","",,128,U32,,,none,,,,
mem,cmd,xsum_section,0x0,0x53,,,,"Checksum Memory Section","",160,,,,,,,,18000000000D53B9000000000000000000000000,
,,section,,,,,,"Section to checksum","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to checksum","",,128,U32,,,none,,,,
mem,cmd,abort,0x0,0x54,,,,"Abort Memory Operation","",64,,,,,,,,18000000000154B2,
mem,cmd,reset,0x0,0x55,,,,"Reset Flash","",96,,,,,,,,18000000000555B700000000,
,,chip,,,,,,"","",,64,U32,,,none,,,,
fp,cmd,reset,0x0,0x10,,,,"Reset counters","",64,,,,,,,,18000000000110F6,
fp,cmd,reset_results,0x0,0x11,,,,"Reset result counters","",96,,,,,,,,18000000000511F300000000,
,,id,,,,,,"ID of watch to reset, max if all","",,64,U32,,,none,,,,
fp,cmd,validate,0x0,0x12,,,,"Validate watch table","",64,,,,,,,,18000000000112F4,
fp,cmd,set_task_state,0x0,0x13,,,,"Set Task state","",96,,,,,,,,18000000000513F100000000,
,,state,,,,,,"New state of task","",,64,D32,,,none,0/DISABLED 1/PASSIVE 2/ENABLED ,,,
fp,cmd,set_watch_state,0x0,0x14,,,,"Set Watch state","",128,,,,,,,,18000000000914FA0000000000000000,
,,id,,,,,,"Id of watch to set","",,64,U32,,,none,,,,
,,state,,,,,,"New state of watch","",,96,D32,,,none,0/DISABLED 1/PASSIVE 2/ENABLED ,,,
fp,cmd,dump_watch,0x0,0x15,,,,"Dump Watch table","",64,,,,,,,,18000000000115F3,
fp,cmd,dump_results,0x0,0x16,,,,"Dump Results table","",64,,,,,,,,18000000000116F0,
fp,cmd,set_watch_values,0x0,0x17,,,,"Set Watch values","",288,,,,,,,,18000000001D17ED00000000000000000000000000000000000000000000000000000000,
,,id,,,,,,"Id of watch to set","",,64,U32,,,none,,,,
,,mask,,,,,,"Value mask","",,96,U32,,,none,,,,
,,threshold,,,,,,"Watchpoint threshold","",,128,U32,,,none,,,,
,,msgId,,,,,,"Watchpoint messageID","",,160,D16,,,none,1/SW_STAT 2/ANA_HK 5/SEQ 6/MEM 7/FP 8/TBL 9/LIB 11/DES_HK 12/CMD_HK 13/DES_SCHED 14/DES_TASK 15/LOG_EVT_HK 16/LOG_PM_HK 18/TIME_HK 19/DES_TIME 20/EVT_LOG 21/PM_LOG 40/UHF_HK 41/UHF_PASS 42/SD_HK 43/ADCS_HK 44/ADCS_MSG 45/DAXSS_HK 46/DAXSS_MSG 47/CIP_HK 48/CIP_SCI_1 49/CIP_SCI_2 50/CIP_SOH 51/CIP_MSG 52/SBAND_HK 53/MODE_HK 54/ADCS_L0 60/TLM_HK 176/DAXSS_LOG 177/DAXSS_MEM 178/DAXSS_SCI 200/ADCS_COMMAND_TLM 201/ADCS_GENERAL 202/ADCS_TIME 203/ADCS_REFS 204/ADCS_ATT_DET 205/ADCS_ATT_CMD 206/ADCS_RW_DRIVE 207/ADCS_TRACKER 208/ADCS_ATT_CTRL 209/ADCS_MOMENTUM 210/ADCS_CSS 211/ADCS_MAG 212/ADCS_IMU 213/ADCS_CLOCK_SYNC 214/ADCS_TLM_PROC 215/ADCS_ANALOGS 216/ADCS_TABLES 217/ADCS_TRACKER2 218/ADCS_GPS 219/ADCS_CAL 220/ADCS_TRACKER_CTRL 221/ADCS_EXT_TRACKER2 ,,,
,,offset,,,,,,"Watchpoint offset","",,176,U16,,,none,,,,
,,response,,,,,,"Watchpoint response","",,192,U16,,,none,,,,
,,persistence,,,,,,"Watchpoint persistence","",,208,U16,,,none,,,,
,,state,,,,,,"Watchpoint state","",,240,D8,,,none,0/DISABLED 1/PASSIVE 2/ENABLED ,,,
,,size,,,,,,"Watchpoint size (in bytes)","",,248,U8,,,none,,,,
,,op,,,,,,"Watchpoint operator","",,256,D8,,,none,1/GT 2/GE 3/LT 4/LE 5/EQ 6/NE ,,,
fp,cmd,set_watch_threshold,0x0,0x18,,,,"Set Watch threshold","",128,,,,,,,,18000000000918F60000000000000000,
,,id,,,,,,"Id of watch to set","",,64,U32,,,none,,,,
,,threshold,,,,,,"New watchpoint threshold","",,96,U32,,,none,,,,
fp,cmd,set_watch_response,0x0,0x18,,,,"Set Watch response","",128,,,,,,,,18000000000918F60000000000000000,
,,id,,,,,,"Id of watch to set","",,64,U32,,,none,,,,
,,response,,,,,,"New watchpoint response","",,96,U32,,,none,,,,
log,cmd,set_evt_group,0x0,0x30,,,,"Set Event Group","",160,,,,,,,,18000000000D30DA000000000000000000000000,
,,logId,,,,,,"ID of log to change","",,64,D32,,,none,0/EVT 1/PM 2/MAX_LOGS ,,,
,,group,,,,,,"Group to enable/disable","",,96,D32,,,none,0/CMD_NOM 1/CMD_ERR 2/TLM_ERR 3/TLM_NOM 4/SEQ 5/MEM_ERR 7/DES_ERR 8/FP_ERR 9/FP_NOM 10/UHF_NOM 11/UHF_ERR 12/ADCS_NOM 13/ADCS_ERR 14/SD_NOM 15/SD_ERR 16/DAXSS_NOM 17/DAXSS_ERR 18/CIP_NOM 19/CIP_ERR 20/SBAND_NOM 21/SBAND_ERR 22/EPS_NOM 23/EPS_ERR 24/MODE_NOM 25/MODE_ERR 26/INIT_NOM 27/INIT_ERR 28/FLASH_NOM 29/FLASH_ERR 30/TBL_NOM 31/TBL_ERR ,,,
,,state,,,,,,"New state for group","",,128,D32,,,none,0/MASKED 1/UNMASKED ,,,
log,cmd,set_state,0x0,0x31,,,,"Set Event Log State","",128,,,,,,,,18000000000931DF0000000000000000,
,,logId,,,,,,"ID of log to change","",,64,D32,,,none,0/EVT 1/PM 2/MAX_LOGS ,,,
,,state,,,,,,"New state for log","",,96,D32,,,none,0/DS 1/EN ,,,
log,cmd,reset,0x0,0x32,,,,"Reset log statistics","",64,,,,,,,,18000000000132D4,
log,cmd,set_mask_state,0x0,0x33,,,,"Set Mask state for log","",128,,,,,,,,18000000000933DD0000000000000000,
,,logId,,,,,,"ID of log to set state","",,64,D32,,,none,0/EVT 1/PM 2/MAX_LOGS ,,,
,,state,,,,,,"New state for masking","",,96,D32,,,none,0/MASKED 1/UNMASKED ,,,
log,cmd,reset_log,0x0,0x34,,,,"Reset Log Read Pointer","",96,,,,,,,,18000000000534D600000000,
,,logId,,,,,,"ID of log to set state","",,64,D32,,,none,0/EVT 1/PM 2/MAX_LOGS ,,,
log,cmd,issue,0x0,0x35,,,,"Issue Log Packet","",96,,,,,,,,18000000000535D700000000,
,,logId,,,,,,"ID of log to set state","",,64,D32,,,none,0/EVT 1/PM 2/MAX_LOGS ,,,
set,cmd,pkt_rate,0x0,0x61,,,,"Set Telemetry Packet Rate","",96,,,,,,,,180000000005618200000100,
,,apid,,,,,,"APID of packet to set rate","",,64,D16,,,none,1/SW_STAT 2/ANA_HK 5/SEQ 6/MEM 7/FP 8/TBL 9/LIB 11/DES_HK 12/CMD_HK 13/DES_SCHED 14/DES_TASK 15/LOG_EVT_HK 16/LOG_PM_HK 18/TIME_HK 19/DES_TIME 20/EVT_LOG 21/PM_LOG 40/UHF_HK 41/UHF_PASS 42/SD_HK 43/ADCS_HK 44/ADCS_MSG 45/DAXSS_HK 46/DAXSS_MSG 47/CIP_HK 48/CIP_SCI_1 49/CIP_SCI_2 50/CIP_SOH 51/CIP_MSG 52/SBAND_HK 53/MODE_HK 54/ADCS_L0 60/TLM_HK 176/DAXSS_LOG 177/DAXSS_MEM 178/DAXSS_SCI 200/ADCS_COMMAND_TLM 201/ADCS_GENERAL 202/ADCS_TIME 203/ADCS_REFS 204/ADCS_ATT_DET 205/ADCS_ATT_CMD 206/ADCS_RW_DRIVE 207/ADCS_TRACKER 208/ADCS_ATT_CTRL 209/ADCS_MOMENTUM 210/ADCS_CSS 211/ADCS_MAG 212/ADCS_IMU 213/ADCS_CLOCK_SYNC 214/ADCS_TLM_PROC 215/ADCS_ANALOGS 216/ADCS_TABLES 217/ADCS_TRACKER2 218/ADCS_GPS 219/ADCS_CAL 220/ADCS_TRACKER_CTRL 221/ADCS_EXT_TRACKER2 ,,,
,,rate,,,,,,"New rate for packet (in seconds)","",,80,U8,,1,none,,,,
,,stream,,,,,,"Stream to change","",,88,D8,,0,none,0/DBG 1/UHF 2/SD 3/SBAND ,,,
issue,cmd,pkt,0x0,0x60,,,,"Issue Telemetry Packet","",96,,,,,,,,180000000005608200000000,
,,apid,,,,,,"APID of packet to issue","",,64,D16,,,none,1/SW_STAT 2/ANA_HK 5/SEQ 6/MEM 7/FP 8/TBL 9/LIB 11/DES_HK 12/CMD_HK 13/DES_SCHED 14/DES_TASK 15/LOG_EVT_HK 16/LOG_PM_HK 18/TIME_HK 19/DES_TIME 20/EVT_LOG 21/PM_LOG 40/UHF_HK 41/UHF_PASS 42/SD_HK 43/ADCS_HK 44/ADCS_MSG 45/DAXSS_HK 46/DAXSS_MSG 47/CIP_HK 48/CIP_SCI_1 49/CIP_SCI_2 50/CIP_SOH 51/CIP_MSG 52/SBAND_HK 53/MODE_HK 54/ADCS_L0 60/TLM_HK 176/DAXSS_LOG 177/DAXSS_MEM 178/DAXSS_SCI 200/ADCS_COMMAND_TLM 201/ADCS_GENERAL 202/ADCS_TIME 203/ADCS_REFS 204/ADCS_ATT_DET 205/ADCS_ATT_CMD 206/ADCS_RW_DRIVE 207/ADCS_TRACKER 208/ADCS_ATT_CTRL 209/ADCS_MOMENTUM 210/ADCS_CSS 211/ADCS_MAG 212/ADCS_IMU 213/ADCS_CLOCK_SYNC 214/ADCS_TLM_PROC 215/ADCS_ANALOGS 216/ADCS_TABLES 217/ADCS_TRACKER2 218/ADCS_GPS 219/ADCS_CAL 220/ADCS_TRACKER_CTRL 221/ADCS_EXT_TRACKER2 ,,,
,,stream,,,,,,"Stream to change","",,80,D16,,0,none,0/DBG 1/UHF 2/SD 3/SBAND ,,,
pkt,cmd,stream_set,0x0,0x62,,,,"Set state of stream","",128,,,,,,,,180000000009628C0000000000000000,
,,stream,,,,,,"Stream to change","",,64,D32,,0,none,0/DBG 1/UHF 2/SD 3/SBAND ,,,
,,state,,,,,,"New state","",,96,D32,,,none,0/DIS 1/ENA ,,,
set,cmd,pkt_priority,0x0,0x63,,,,"Set Telemetry Packet Priority","",160,,,,,,,,18000000000D6389000000000000000000000000,
,,apid,,,,,,"APID of packet to set rate","",,64,D32,,,none,1/SW_STAT 2/ANA_HK 5/SEQ 6/MEM 7/FP 8/TBL 9/LIB 11/DES_HK 12/CMD_HK 13/DES_SCHED 14/DES_TASK 15/LOG_EVT_HK 16/LOG_PM_HK 18/TIME_HK 19/DES_TIME 20/EVT_LOG 21/PM_LOG 40/UHF_HK 41/UHF_PASS 42/SD_HK 43/ADCS_HK 44/ADCS_MSG 45/DAXSS_HK 46/DAXSS_MSG 47/CIP_HK 48/CIP_SCI_1 49/CIP_SCI_2 50/CIP_SOH 51/CIP_MSG 52/SBAND_HK 53/MODE_HK 54/ADCS_L0 60/TLM_HK 176/DAXSS_LOG 177/DAXSS_MEM 178/DAXSS_SCI 200/ADCS_COMMAND_TLM 201/ADCS_GENERAL 202/ADCS_TIME 203/ADCS_REFS 204/ADCS_ATT_DET 205/ADCS_ATT_CMD 206/ADCS_RW_DRIVE 207/ADCS_TRACKER 208/ADCS_ATT_CTRL 209/ADCS_MOMENTUM 210/ADCS_CSS 211/ADCS_MAG 212/ADCS_IMU 213/ADCS_CLOCK_SYNC 214/ADCS_TLM_PROC 215/ADCS_ANALOGS 216/ADCS_TABLES 217/ADCS_TRACKER2 218/ADCS_GPS 219/ADCS_CAL 220/ADCS_TRACKER_CTRL 221/ADCS_EXT_TRACKER2 ,,,
,,priority,,,,,,"New priority for packet","",,96,D32,,,none,0/HIGH 1/MEDIUM 2/LOW ,,,
,,stream,,,,,,"Stream to change","",,128,D32,,0,none,0/DBG 1/UHF 2/SD 3/SBAND ,,,
seq,cmd,load,0x0,0x40,,,,"Load Sequence Data","",1184,,,,,,,,18000000008D402A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
,,buffId,,,,,,"Buffer to load","",,64,U32,,,none,,,,
,,buffOffset,,,,,,"Offset within buffer to write","",,96,U32,,,none,,,,
,,buffLength,,,,,,"Number of bytes in load","",,128,U32,,,none,,,,
,,data,,,,,,"Data to write","",,160,U1024,,,none,,,,
seq,cmd,init,0x0,0x41,,,,"Initialize Sequence","",128,,,,,,,,18000000000941AF0000000000000000,
,,engineId,,,,,,"ID of engine","",,64,U32,,,none,,,,
,,buffId,,,,,,"Buffer to run","",,96,U32,,,none,,,,
seq,cmd,set_state,0x0,0x42,,,,"Set Sequence State","",128,,,,,,,,18000000000942AC0000000000000000,
,,engineId,,,,,,"Engine to set","",,64,U32,,,none,,,,
,,state,,,,,,"New state of engine","",,96,U32,,,none,,,,
seq,cmd,verify,0x0,0x43,,,,"Verify Sequence","",96,,,,,,,,18000000000543A100000000,
,,buffId,,,,,,"Buffer to verify","",,64,U32,,,none,,,,
seq,cmd,halt,0x0,0x44,,,,"Terminate Sequence","",96,,,,,,,,18000000000544A600000000,
,,engineId,,,,,,"ID of engine","",,64,U32,,,none,,,,
seq,cmd,find,0x0,0x45,,,,"Find Sequence","",96,,,,,,,,18000000000545A700000000,
,,seqId,,,,,,"ID of sequence to find","",,64,U32,,,none,,,,
seq,cmd,info,0x0,0x46,,,,"Info Sequence","",96,,,,,,,,18000000000546A400000000,
,,buffId,,,,,,"ID of buffer","",,64,U32,,,none,,,,
seq,cmd,dump,0x0,0x47,,,,"Dump Sequence","",160,,,,,,,,18000000000D47AD000000000000000000000000,
,,buffId,,,,,,"ID of buffer","",,64,U32,,,none,,,,
,,offset,,,,,,"Offset within buffer to start","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to dump, 0 if entire buffer","",,128,U32,,,none,,,,
seq,cmd,start,0x32,0x2,,,,"Start Sequence","",96,,,,,,,,18320000000502D200000000,
,,buffId,,,,,,"Buffer to start","",,64,U32,,,none,,,,
seq,cmd,suspend_abs,0x32,0x0,,,,"Suspend Sequence Execution - Absolute Time","",96,,,,,,,,18320000000500D000000000,
,,time,,,,,,"Time at which to resume execution","",,64,U32,,,none,,,,
seq,cmd,suspend_rel,0x32,0x1,,,,"Suspend Sequence Execution - Relative Time","",96,,,,,,,,18320000000501D100000000,
,,time,,,,,,"Number of seconds to pause","",,64,U32,,,none,,,,
seq,cmd,call,0x32,0x3,,,,"Call Subsequence","",96,,,,,,,,18320000000503D300000000,
,,buffId,,,,,,"Buffer to call","",,64,U32,,,none,,,,
noop,cmd,,0x0,0x0,,,,"No-op","",64,,,,,,,,18000000000100E6,
cmd,cmd,reset,0x0,0x2,,,,"Reset Command statistics","",64,,,,,,,,18000000000102E4,
sband,cmd,set_pa,0x0,0xe2,,,,"Set the state of the power amplifier","",96,,,,,,,,180000000005E20000000000,
,,state,,,,,,"PA State","",,64,D32,,,none,0/DIS 1/ENA ,,,
sband,cmd,set_mode,0x0,0xe3,,,,"Set the mode of the radio","",96,,,,,,,,180000000005E30100000000,
,,mode,,,,,,"Radio Mode","",,64,D32,,,none,0/CONFIG 1/SYNC 2/DATA 3/TEST ,,,
sband,cmd,set_pa_level,0x0,0xe4,,,,"Set the PA Level","",96,,,,,,,,180000000005E40600000000,
,,level,,,,,,"Level","",,64,D8,,,none,0/_24DBM 1/_26DBM 2/_28DBM 3/_30DBM ,,,
sband,cmd,set_synth,0x0,0xe5,,,,"Set the synth offset register","",96,,,,,,,,180000000005E50700000000,
,,value,,,,,,"Value","",,64,U8,,,none,,,,
sband,cmd,reset,0x0,0xe6,,,,"Soft reset radio","",64,,,,,,,,180000000001E600,
sband,cmd,debug,0x0,0xe7,,,,"Write to debug register","",96,,,,,,,,180000000005E70500000000,
,,value,,,,,,"Value","",,64,U8,,,none,,,,
sband,cmd,set_encoder,0x0,0xe8,,,,"Set encoder register values","",96,,,,,,,,180000000005E80A00000000,
,,dr,,,,,,"DR field","",,64,U8,,,none,,,,
,,qpsk,,,,,,"O/QPSK field","",,72,U8,,,none,,,,
,,filter,,,,,,"nFILTER field","",,80,D8,,,none,0/ENA 1/DIS ,,,
,,scram,,,,,,"nSCRAM field","",,88,D8,,,none,0/ENA 1/DIS ,,,
sband,cmd,sync_on,0x0,0xe9,,,,"Turn sync mode on to prepare for downlink","",96,,,,,,,,180000000005E90B00000000,
,,timeout,,,,,,"Timeout (in seconds)","",,64,U32,,,none,,,,
sband,cmd,sync_off,0x0,0xea,,,,"Turn sync mode off","",64,,,,,,,,180000000001EA0C,
sd,cmd,write_state,0x0,0xb0,,,,"Set writing state for SD Card","",96,,,,,,,,180000000005B05200000000,
,,state,,,,,,"New state for writing","",,64,D32,,,none,0/DIS 1/ENA ,,,
sd,cmd,read,0x0,0xb1,,,,"Start reading from read pointer location","",192,,,,,,,,180000000011B14600000000000000000000000001000000,
,,stream,,,,,,"Stream to write data to","",,64,D32,,,none,0/DBG 1/UHF 2/SD 3/SBAND ,,,
,,timeout,,,,,,"Max amount of time to read, in seconds","",,96,U32,,,none,,,,
,,partition,,,,,,"Partition to read from","",,128,D32,,,none,0/MISC 1/SCIC 2/SCID 3/ADCS 4/BEACON 5/LOG ,,,
,,decimation,,,,,,"Decimation rate for packets","",,160,U32,,1,none,,,,
sd,cmd,read_halt,0x0,0xb2,,,,"Stop any in progress read operation","",64,,,,,,,,180000000001B254,
sd,cmd,playback,0x0,0xb3,,,,"Playback data from custom page pointers","",256,,,,,,,,180000000019B34D000000000000000000000000000000000000000000000000,
,,stream,,,,,,"Stream to write data to","",,64,D32,,,none,0/DBG 1/UHF 2/SD 3/SBAND ,,,
,,start,,,,,,"Page to start read operation","",,96,U32,,,none,,,,
,,num,,,,,,"Number of pages to read","",,128,U32,,,none,,,,
,,timeout,,,,,,"Max amount of time to read, in seconds","",,160,U32,,,none,,,,
,,partition,,,,,,"Partition to read from","",,192,D32,,,none,0/MISC 1/SCIC 2/SCID 3/ADCS 4/BEACON 5/LOG ,,,
,,decimation,,,,,,"Decimation rate for packets","",,224,U32,,0,none,,,,
sd,cmd,select,0x0,0xb5,,,,"Select active storage device","",96,,,,,,,,180000000005B55700000000,
,,card,,,,,,"Card number","",,64,D32,,,none,0/CARD_0 1/CARD_1 2/FLASH 255/NONE ,,,
sd,cmd,init,0x0,0xb6,,,,"Initialize SD Card","",96,,,,,,,,180000000005B65400000000,
,,card,,,,,,"Card number","",,64,D32,,,none,0/CARD_0 1/CARD_1 ,,,
sd,cmd,set_partition,0x0,0xb7,,,,"Assign an apid to a partition","",128,,,,,,,,180000000009B7590000000000000000,
,,apid,,,,,,"ApID","",,64,D32,,,none,1/SW_STAT 2/ANA_HK 5/SEQ 6/MEM 7/FP 8/TBL 9/LIB 11/DES_HK 12/CMD_HK 13/DES_SCHED 14/DES_TASK 15/LOG_EVT_HK 16/LOG_PM_HK 18/TIME_HK 19/DES_TIME 20/EVT_LOG 21/PM_LOG 40/UHF_HK 41/UHF_PASS 42/SD_HK 43/ADCS_HK 44/ADCS_MSG 45/DAXSS_HK 46/DAXSS_MSG 47/CIP_HK 48/CIP_SCI_1 49/CIP_SCI_2 50/CIP_SOH 51/CIP_MSG 52/SBAND_HK 53/MODE_HK 54/ADCS_L0 60/TLM_HK 176/DAXSS_LOG 177/DAXSS_MEM 178/DAXSS_SCI 200/ADCS_COMMAND_TLM 201/ADCS_GENERAL 202/ADCS_TIME 203/ADCS_REFS 204/ADCS_ATT_DET 205/ADCS_ATT_CMD 206/ADCS_RW_DRIVE 207/ADCS_TRACKER 208/ADCS_ATT_CTRL 209/ADCS_MOMENTUM 210/ADCS_CSS 211/ADCS_MAG 212/ADCS_IMU 213/ADCS_CLOCK_SYNC 214/ADCS_TLM_PROC 215/ADCS_ANALOGS 216/ADCS_TABLES 217/ADCS_TRACKER2 218/ADCS_GPS 219/ADCS_CAL 220/ADCS_TRACKER_CTRL 221/ADCS_EXT_TRACKER2 ,,,
,,partition,,,,,,"Sector for this apid","",,96,D32,,,none,0/MISC 1/SCIC 2/SCID 3/ADCS 4/BEACON 5/LOG ,,,
